Unnamed: 0,id,p_id,results_key,results,run_args,results_files,process_data,baseline,scenes_id,cost_id,log_id,dimension,task_id,run_id,task_from,plan_id,report_id,status,version,created,modified,resources,old_results_id
0.0,347042,1,test_1kb,"{""#wrk_qps_avg"": 1547599.39, ""wrk_latency_avg"": 3.97, ""wrk_latency_max"": 247.6, ""wrk_transfer_sec"": 1863.68, ""wrk_latency_stdev"": 4.11, ""wrk_latency_distribution_90"": 8.71}","{""https"": false, ""thread"": 62, ""duration"": 30, ""test_item"": ""1kb"", ""connection"": 6200, ""keep_alive"": true, ""net_params"": ""default""}","{""tests_result_url"": ""cloud_perf/2018/results/tencent_bench/result/58488001/289263_58488001_0_nginx_wrk_tune_baseline_3.json"", ""1630796960-wrk-sar.1630793809.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796960-wrk-sar.1630793809.log"", ""1630796961-wrk-sar.1630793809.rx_kB.png"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796961-wrk-sar.1630793809.rx_kB.png"", ""1630796964-wrk-sar.1630793809.tx_kB.png"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796964-wrk-sar.1630793809.tx_kB.png"", ""1630796963-wrk-sar.1630793809.rx_pck.png"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796963-wrk-sar.1630793809.rx_pck.png"", ""1630796965-wrk-sar.1630793809.tx_pck.png"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796965-wrk-sar.1630793809.tx_pck.png"", ""1630796956-172.20.224.21_tool_20210905_0617.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796956-172.20.224.21_tool_20210905_0617.log"", ""1630796957-172.20.224.21_tool_20210905_0618.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796957-172.20.224.21_tool_20210905_0618.log"", ""1630796959-172.20.224.21_tool_20210905_0620.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796959-172.20.224.21_tool_20210905_0620.log""}",{},{},99508,259625,259626,"{""cvm_cpu"": ""62"", ""platform"": ""qcloud"", ""test_name"": ""nginx_wrk_tune_baseline"", ""tool_name"": ""nginx_wrk"", ""cvm_memory"": ""214 GB"", ""cvm_cpu_qos"": true, ""cvm_os_type"": ""CentOS Linux release 8.2.2004 (Core)"", ""cvm_version"": ""name_1"", ""cvm_cpu_type"": ""name_0"", ""tool_version"": ""1.16.7_4.1.0"", ""host_cpu_type"": ""name_0"", ""component_name"": ""cvm"", ""host_memory_type"": ""name_2"", ""component_version"": ""default"", ""host_cpu_isolation"": {""host"": {""vm"": ""2-32,38-68,74-104,110-140"", ""dpdk"": ""33-35,69-71,105-107,141-143"", ""host"": ""0-1,36-37"", ""spdk"": ""72-73,108-109""}}, ""host_manufacturer_name"": ""name_3""}",58488001,1db0db1c-e616-4f5b-a0cf-c71023424065,qci,289263,8748610.0,1,9999,2021-09-05 06:37:57.600522+08,2021-09-05 07:09:43.865365+08,"{""cluster"": {""server"": 113223}, ""tool_env"": {""nginx_wrk"": [36010]}, ""component"": {""nginx_wrk"": [36011]}}",
1.0,426197,1,default,"{""openssl_des_size_16"": 27246690.0, ""openssl_des_size_64"": 27533290.0, ""openssl_md2_size_16"": 0.0, ""openssl_md2_size_64"": 0.0, ""openssl_md4_size_16"": 108156980.0, ""openssl_md4_size_64"": 299196160.0, ""openssl_rc2_size_16"": 47565300.0, ""openssl_rc2_size_64"": 48375770.0, ""openssl_rc4_size_16"": 390284710.0, ""openssl_rc4_size_64"": 411625170.0, ""#openssl_md5_size_16"": 138796040.0, ""#openssl_md5_size_64"": 304494350.0, ""openssl_cast_size_16"": 112474370.0, ""openssl_cast_size_64"": 120853610.0, ""openssl_des_size_256"": 27507590.0, ""openssl_idea_size_16"": 88305130.0, ""openssl_idea_size_64"": 92203120.0, ""openssl_md2_size_256"": 0.0, ""openssl_md4_size_256"": 665710560.0, ""openssl_mdc2_size_16"": 17096700.0, ""openssl_mdc2_size_64"": 17974720.0, ""openssl_rc2_size_256"": 48431180.0, ""openssl_rc4_size_256"": 422328610.0, ""openssl_seed_size_16"": 86547770.0, ""openssl_seed_size_64"": 90238670.0, ""openssl_sha1_size_16"": 219268320.0, ""openssl_sha1_size_64"": 552976670.0, ""#openssl_md5_size_256"": 523630360.0, ""#openssl_rand_size_16"": 25034650.0, ""#openssl_rand_size_64"": 98599460.0, ""openssl_cast_size_256"": 123100520.0, ""openssl_des_size_1024"": 27630820.0, ""openssl_des_size_8192"": 27624630.0, ""openssl_ghash_size_16"": 1405506190.0, ""openssl_ghash_size_64"": 5739480230.0, ""openssl_idea_size_256"": 92529020.0, ""openssl_md2_size_1024"": 0.0, ""openssl_md2_size_8192"": 0.0, ""openssl_md4_size_1024"": 960425750.0, ""openssl_md4_size_8192"": 1108622260.0, ""openssl_mdc2_size_256"": 18307350.0, ""openssl_rc2_size_1024"": 48631750.0, ""openssl_rc2_size_8192"": 48670930.0, ""openssl_rc4_size_1024"": 428844330.0, ""openssl_rc4_size_8192"": 431531470.0, ""openssl_seed_size_256"": 90828630.0, ""openssl_sha1_size_256"": 1081892940.0, ""#openssl_md5_size_1024"": 640550830.0, ""#openssl_md5_size_8192"": 684749490.0, ""#openssl_rand_size_256"": 379233260.0, ""openssl_cast_size_1024"": 123690270.0, ""openssl_cast_size_8192"": 123850390.0, ""openssl_des_size_16384"": 27605390.0, ""openssl_ghash_size_256"": 11048019500.0, ""openssl_idea_size_1024"": 93024900.0, ""openssl_idea_size_8192"": 93053420.0, ""openssl_md2_size_16384"": 0.0, ""openssl_md4_size_16384"": 1123782960.0, ""openssl_mdc2_size_1024"": 18378050.0, ""openssl_mdc2_size_8192"": 18429250.0, ""openssl_rc2_size_16384"": 48662680.0, ""openssl_rc4_size_16384"": 431822860.0, ""openssl_rmd160_size_16"": 48433390.0, ""openssl_rmd160_size_64"": 113824940.0, ""openssl_seed_size_1024"": 91372070.0, ""openssl_seed_size_8192"": 91417770.0, ""openssl_sha1_size_1024"": 1428216100.0, ""openssl_sha1_size_8192"": 1575236380.0, ""openssl_sha512_size_16"": 59010180.0, ""openssl_sha512_size_64"": 236350150.0, ""#openssl_md5_size_16384"": 688029040.0, ""#openssl_rand_size_1024"": 1319133930.0, ""#openssl_rand_size_8192"": 4550588950.0, ""#openssl_sha256_size_16"": 186794640.0, ""#openssl_sha256_size_64"": 463084970.0, ""openssl_aes_192_size_16"": 176422200.0, ""openssl_aes_192_size_64"": 187918430.0, ""openssl_cast_size_16384"": 123820160.0, ""openssl_ghash_size_1024"": 12996680160.0, ""openssl_ghash_size_8192"": 13564893640.0, ""openssl_idea_size_16384"": 93113900.0, ""openssl_mdc2_size_16384"": 18412760.0, ""openssl_rmd160_size_256"": 203272590.0, ""openssl_seed_size_16384"": 91398530.0, ""openssl_sha1_size_16384"": 1587081790.0, ""openssl_sha512_size_256"": 373361570.0, ""#openssl_aes_128_size_16"": 201371230.0, ""#openssl_aes_128_size_64"": 216549540.0, ""#openssl_aes_256_size_16"": 156977930.0, ""#openssl_aes_256_size_64"": 166032790.0, ""#openssl_rand_size_16384"": 5522915560.0, ""#openssl_sha256_size_256"": 876027720.0, ""openssl_aes_192_size_256"": 191063280.0, ""openssl_blowfish_size_16"": 124171050.0, ""openssl_blowfish_size_64"": 132050390.00000001, ""openssl_ghash_size_16384"": 13632813010.0, ""openssl_hmac_md5_size_16"": 62063500.0, ""openssl_hmac_md5_size_64"": 181985550.0, ""openssl_rmd160_size_1024"": 252163440.0, ""openssl_rmd160_size_8192"": 272669900.0, ""openssl_sha512_size_1024"": 531200339.99999994, ""openssl_sha512_size_8192"": 606164020.0, ""#openssl_aes_128_size_256"": 220491340.0, ""#openssl_aes_256_size_256"": 168236760.0, ""#openssl_sha256_size_1024"": 1138802430.0, ""#openssl_sha256_size_8192"": 1245835510.0, ""openssl_aes_192_size_1024"": 191749500.0, ""openssl_aes_192_size_8192"": 192014430.0, ""openssl_blowfish_size_256"": 134768540.0, ""openssl_dsa_size_512_sign"": 19652.8, ""openssl_hmac_md5_size_256"": 406715450.0, ""openssl_rc5_32_12_size_16"": 0.0, ""openssl_rc5_32_12_size_64"": 0.0, ""openssl_rmd160_size_16384"": 273448410.0, ""openssl_rsa_size_512_sign"": 26997.2, ""openssl_sha512_size_16384"": 610876620.0, ""openssl_whirlpool_size_16"": 38452970.0, ""openssl_whirlpool_size_64"": 80190500.0, ""#openssl_aes_128_size_1024"": 221617310.0, ""#openssl_aes_128_size_8192"": 221211400.0, ""#openssl_aes_256_size_1024"": 169084740.0, ""#openssl_aes_256_size_8192"": 169277510.0, ""#openssl_sha256_size_16384"": 1254420620.0, ""openssl_aes_192_size_16384"": 191473620.0, ""openssl_blowfish_size_1024"": 135380700.0, ""openssl_blowfish_size_8192"": 135508880.0, ""openssl_dsa_size_1024_sign"": 10503.4, ""openssl_dsa_size_2048_sign"": 3903.0, ""openssl_ecdh_X448_size_448"": 2296.4, ""openssl_hmac_md5_size_1024"": 586670490.0, ""openssl_hmac_md5_size_8192"": 676582230.0, ""openssl_rc5_32_12_size_256"": 0.0, ""openssl_rsa_size_3072_sign"": 510.9, ""openssl_rsa_size_7680_sign"": 25.1, ""openssl_whirlpool_size_256"": 133051880.0, ""#openssl_aes_128_size_16384"": 221953720.0, ""#openssl_aes_256_size_16384"": 169255520.0, ""#openssl_rsa_size_1024_sign"": 10220.5, ""#openssl_rsa_size_2048_sign"": 1564.2, ""#openssl_rsa_size_4096_sign"": 231.1, ""openssl_blowfish_size_16384"": 135727920.0, ""openssl_dsa_size_512_verify"": 28053.8, ""openssl_hmac_md5_size_16384"": 683828570.0, ""openssl_rc5_32_12_size_1024"": 0.0, ""openssl_rc5_32_12_size_8192"": 0.0, ""openssl_rsa_size_15360_sign"": 4.8, ""openssl_rsa_size_512_verify"": 409847.4, ""openssl_whirlpool_size_1024"": 159753280.0, ""openssl_whirlpool_size_8192"": 169728340.0, ""openssl_camellia_128_size_16"": 117061400.0, ""openssl_camellia_128_size_64"": 166856590.0, ""openssl_camellia_192_size_16"": 97313490.0, ""openssl_camellia_192_size_64"": 129121630.0, ""openssl_camellia_256_size_16"": 97206120.0, ""openssl_camellia_256_size_64"": 129130950.0, ""openssl_dsa_size_1024_verify"": 13425.8, ""openssl_dsa_size_2048_verify"": 4175.6, ""openssl_ecdh_X25519_size_253"": 27722.4, ""openssl_rc5_32_12_size_16384"": 0.0, ""openssl_rsa_size_3072_verify"": 25502.2, ""openssl_rsa_size_7680_verify"": 4404.1, ""openssl_whirlpool_size_16384"": 170415590.0, ""#openssl_rsa_size_1024_verify"": 169156.8, ""#openssl_rsa_size_2048_verify"": 53858.2, ""#openssl_rsa_size_4096_verify"": 14860.8, ""openssl_camellia_128_size_256"": 186459660.0, ""openssl_camellia_192_size_256"": 140505940.0, ""openssl_camellia_256_size_256"": 140468060.0, ""openssl_rsa_size_15360_verify"": 1122.3, ""openssl_camellia_128_size_1024"": 191671150.0, ""openssl_camellia_128_size_8192"": 193793030.0, ""openssl_camellia_192_size_1024"": 143360340.0, ""openssl_camellia_192_size_8192"": 144575060.0, ""openssl_camellia_256_size_1024"": 143469960.0, ""openssl_camellia_256_size_8192"": 144566810.0, ""openssl_ecdh_nistp224_size_224"": 3249.7, ""openssl_ecdh_nistp256_size_256"": 18551.2, ""openssl_ecdh_nistp384_size_384"": 1114.1, ""openssl_ecdh_nistp521_size_521"": 493.9, ""openssl_camellia_128_size_16384"": 193902990.0, ""openssl_camellia_192_size_16384"": 144696010.0, ""openssl_camellia_256_size_16384"": 144663020.0, ""openssl_EdDSA_Ed448_size_456_sign"": 3493.4, ""openssl_EdDSA_Ed25519_size_253_sign"": 30400.0, ""openssl_EdDSA_Ed448_size_456_verify"": 2080.5, ""openssl_ecdsa_nistp224_size_224_sign"": 3103.9, ""openssl_ecdsa_nistp256_size_256_sign"": 44159.2, ""openssl_ecdsa_nistp384_size_384_sign"": 1067.8, ""openssl_ecdsa_nistp521_size_521_sign"": 472.9, ""openssl_EdDSA_Ed25519_size_253_verify"": 9163.7, ""openssl_ecdsa_nistp224_size_224_verify"": 3444.4, ""openssl_ecdsa_nistp256_size_256_verify"": 14107.5, ""openssl_ecdsa_nistp384_size_384_verify"": 1314.2, ""openssl_ecdsa_nistp521_size_521_verify"": 607.8}","{""model"": null}","{""tests_result_url"": ""cloud_perf/2018/results/tencent_bench/result/73204712/353603_73204712_0_openssl_baseline_0.json"", ""1637347514-10.0.0.196_tool_20211120_0243.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/73204712/1637347514-10.0.0.196_tool_20211120_0243.log""}",{},{},119156,321071,321072,"{""cvm_cpu"": ""32"", ""platform"": ""qcloud"", ""test_name"": ""openssl_baseline"", ""tool_name"": ""openssl"", ""cvm_memory"": ""64 GB"", ""cvm_cpu_qos"": true, ""cvm_os_type"": ""CentOS Linux release 8.2.2004 (Core)"", ""cvm_version"": ""name_6"", ""cvm_cpu_type"": ""name_4"", ""tool_version"": ""1.1.1k"", ""host_cpu_type"": ""name_5"", ""component_name"": ""cvm"", ""host_memory_type"": ""name_7"", ""component_version"": ""default"", ""host_cpu_isolation"": {""host"": {""vm"": """", ""name_8"": ""4-5,10-11"", ""host"": ""0-3"", ""spdk"": ""6-9""}}, ""host_manufacturer_name"": ""name_3""}",73204712,2ef3cb89-2fde-4b30-ac77-b7b961293df6,qci,353603,11153291.0,-1,9999,2021-11-20 02:44:34.065347+08,2021-11-20 02:45:26.432238+08,"{""cluster"": {""server"": 144465}, ""tool_env"": {""openssl"": [43640]}, ""component"": {""openssl"": [43641]}}",
2.0,222630,1,default,"{""#ls_time"": 18}",{},{},{},"{""#ls_time"": 18.0}",61693,148524,2562,"{""dd"": ""name_11"", ""cvm_cpu"": ""1"", ""platform"": ""default"", ""test_name"": ""demo"", ""tool_name"": ""ls"", ""cvm_memory"": ""2 GB"", ""cvm_version"": ""name_11"", ""cvm_cpu_type"": ""name_9"", ""tool_version"": ""1.0"", ""host_cpu_type"": ""name_9"", ""component_name"": ""cvm"", ""host_memory_type"": ""name_12"", ""component_version"": ""name_11"", ""host_cpu_isolation"": {""host"": {""vm"": ""1-3,5-22,25-27,29-46,49-51,53-70,73-75,77-94"", ""dpdk"": ""23,47,71,95"", ""host"": ""0,48"", ""spdk"": ""4,24,28,52,72,76""}}, ""host_manufacturer_name"": ""name_10""}",2ca775be-329c-49ca-aba8-5c3053674e50,6ea57ede-6801-43c9-9d86-453746d4c2af,qta,qta_task_result,14525532.0,1,404,2020-12-26 16:03:09.386716+08,2020-12-26 16:03:10.424979+08,"{""component"": {""ls"": [16997]}}",
3.0,222892,1,default,"{""#ls_time"": 18}",{},{},{},"{""#ls_time"": 18.0}",61813,148524,2562,"{""dd"": ""name_11"", ""cvm_cpu"": ""1"", ""platform"": ""default"", ""test_name"": ""demo"", ""tool_name"": ""ls"", ""cvm_memory"": ""2 GB"", ""cvm_version"": ""name_11"", ""cvm_cpu_type"": ""name_9"", ""tool_version"": ""1.0"", ""host_cpu_type"": ""name_9"", ""component_name"": ""cvm"", ""host_memory_type"": ""name_12"", ""component_version"": ""name_11"", ""host_cpu_isolation"": {""host"": {""vm"": ""1-3,5-22,25-27,29-46,49-51,53-70,73-75,77-94"", ""dpdk"": ""23,47,71,95"", ""host"": ""0,48"", ""spdk"": ""4,24,28,52,72,76""}}, ""host_manufacturer_name"": ""name_10""}",f8838178-87ef-471d-90da-2008528fe0d4,13163781-f181-43b5-a8fb-214e2865993d,qta,qta_task_result,14525532.0,1,404,2020-12-28 09:00:39.893293+08,2020-12-28 09:00:41.154916+08,"{""component"": {""ls"": [17125]}}",
4.0,208509,1,specific_actions=idle_latency,"{""#mlc_idle_latency"": 90.6}","{""install_path"": ""~"", ""specific_actions"": ""idle_latency""}","{""tests_result_url"": ""cloud_perf/2018/results/tencent_bench/result/22809804/102284_22809804_0_mlc_baseline_1.json"", ""1605685434-9.143.94.224_tool_20201118_1542.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/22809804/1605685434-9.143.94.224_tool_20201118_1542.log""}",{},"{""#mlc_idle_latency"": 91.15554}",57252,157805,157806,"{""cvm_cpu"": ""8"", ""platform"": ""default"", ""test_name"": ""mlc_baseline"", ""tool_name"": ""mlc"", ""cvm_memory"": ""16 GB"", ""cvm_os_type"": ""CentOS Linux release 7.2 (Final)"", ""cvm_version"": null, ""name_13"": ""name_9"", ""tool_version"": ""3.8"", ""component_name"": ""cvm"", ""component_version"": ""default""}",22809804,90aaf10e-c7f3-48fd-9971-313cec2e0b8b,qci,102284,3483670.0,1,9999,2020-11-18 15:43:18.149868+08,2020-11-18 15:44:03.417492+08,"{""cluster"": {""server"": 57644}, ""tool_env"": {""mlc"": [14061]}, ""component"": {""mlc"": [14062]}}",
5.0,347022,1,default,"{""#pgbench_TPC_B"": 6567, ""#pgbench_TRIMMED"": 8341, ""#pgbench_SELECT_ONLY"": 632609}","{""hostname"": ""127.0.0.1""}","{""tests_result_url"": ""cloud_perf/2018/results/tencent_bench/result/58488000/289263_58488000_0_pgbench_baseline_0.json"", ""1630793036-172.20.224.21_tool_20210905_0546.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488000/1630793036-172.20.224.21_tool_20210905_0546.log""}",{},{},99500,259613,259614,"{""cvm_cpu"": ""62"", ""platform"": ""qcloud"", ""test_name"": ""pgbench_baseline"", ""tool_name"": ""pgbench"", ""cvm_memory"": ""214 GB"", ""cvm_cpu_qos"": true, ""cvm_os_type"": ""CentOS Linux release 8.2.2004 (Core)"", ""cvm_version"": ""name_1"", ""cvm_cpu_type"": ""name_0"", ""tool_version"": ""1"", ""host_cpu_type"": ""name_0"", ""component_name"": ""cvm"", ""host_memory_type"": ""name_2"", ""component_version"": ""default"", ""host_cpu_isolation"": {""host"": {""vm"": ""2-32,38-68,74-104,110-140"", ""dpdk"": ""33-35,69-71,105-107,141-143"", ""host"": ""0-1,36-37"", ""spdk"": ""72-73,108-109""}}, ""host_manufacturer_name"": ""name_3""}",58488000,62658ee6-1992-46bc-8201-a7eac0923021,qci,289263,8748610.0,1,9999,2021-09-05 06:02:39.034998+08,2021-09-05 06:04:19.339502+08,"{""cluster"": {""server"": 113223}, ""tool_env"": {""pgbench"": [36010]}, ""component"": {""pgbench"": [36011]}}",
6.0,347043,1,test_1kb[keep_alive=False],"{""#wrk_qps_avg"": 74599.12, ""wrk_errors_str"": {""read"": 0, ""write"": 0, ""connect"": 0, ""timeout"": 211}, ""wrk_latency_avg"": 10.99, ""wrk_latency_max"": 3340.0, ""wrk_transfer_sec"": 89.5, ""wrk_latency_stdev"": 64.12, ""wrk_latency_distribution_90"": 7.55}","{""https"": false, ""thread"": 62, ""duration"": 30, ""test_item"": ""1kb"", ""connection"": 6200, ""keep_alive"": false, ""net_params"": ""default""}","{""tests_result_url"": ""cloud_perf/2018/results/tencent_bench/result/58488001/289263_58488001_1_nginx_wrk_accept_mutex_tune_baseline_4.json"", ""1630796990-wrk-sar.1630795650.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796990-wrk-sar.1630795650.log"", ""1630796992-wrk-sar.1630795650.rx_kB.png"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796992-wrk-sar.1630795650.rx_kB.png"", ""1630796994-wrk-sar.1630795650.tx_kB.png"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796994-wrk-sar.1630795650.tx_kB.png"", ""1630796993-wrk-sar.1630795650.rx_pck.png"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796993-wrk-sar.1630795650.rx_pck.png"", ""1630796996-wrk-sar.1630795650.tx_pck.png"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796996-wrk-sar.1630795650.tx_pck.png"", ""1630796986-172.20.224.21_tool_20210905_0648.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796986-172.20.224.21_tool_20210905_0648.log"", ""1630796988-172.20.224.21_tool_20210905_0649.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796988-172.20.224.21_tool_20210905_0649.log"", ""1630796989-172.20.224.21_tool_20210905_0651.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58488001/1630796989-172.20.224.21_tool_20210905_0651.log""}",{},{},99509,259627,259626,"{""cvm_cpu"": ""62"", ""platform"": ""qcloud"", ""test_name"": ""nginx_wrk_accept_mutex_tune_baseline"", ""tool_name"": ""nginx_wrk"", ""cvm_memory"": ""214 GB"", ""cvm_cpu_qos"": true, ""cvm_os_type"": ""CentOS Linux release 8.2.2004 (Core)"", ""cvm_version"": ""name_1"", ""cvm_cpu_type"": ""name_0"", ""tool_version"": ""1.16.4_4.1.0"", ""host_cpu_type"": ""name_0"", ""component_name"": ""cvm"", ""host_memory_type"": ""name_2"", ""component_version"": ""default"", ""host_cpu_isolation"": {""host"": {""vm"": ""2-32,38-68,74-104,110-140"", ""dpdk"": ""33-35,69-71,105-107,141-143"", ""host"": ""0-1,36-37"", ""spdk"": ""72-73,108-109""}}, ""host_manufacturer_name"": ""name_3""}",58488001,3cc1b35d-da41-4346-b4a4-c6d7c04a0823,qci,289263,8748610.0,1,9999,2021-09-05 07:03:35.763836+08,2021-09-05 07:10:21.054031+08,"{""cluster"": {""server"": 113223}, ""tool_env"": {""nginx_wrk"": [36010]}, ""component"": {""nginx_wrk"": [36011]}}",
7.0,426199,1,"duration=300,mode=cpu,threads=1","{""#sysbench_events_per_second"": 3567}","{""mode"": ""cpu"", ""threads"": 1, ""duration"": 300}","{""tests_result_url"": ""cloud_perf/2018/results/tencent_bench/result/73257080/353809_73257080_0_sysbench_cpu_baseline_0.json"", ""1637347550-172.16.1.151_tool_20211120_0239.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/73257080/1637347550-172.16.1.151_tool_20211120_0239.log""}",{},"{""#sysbench_events_per_second"": 3564.0}",119165,321073,321074,"{""cvm_cpu"": ""48"", ""platform"": ""qcloud"", ""test_name"": ""sysbench_cpu_baseline"", ""tool_name"": ""sysbench"", ""cvm_memory"": ""96 GB"", ""cvm_os_type"": ""CentOS Linux release 8.2"", ""cvm_version"": ""name_14"", ""tool_version"": ""1.0.17"", ""component_name"": ""cvm"", ""component_version"": ""default""}",73257080,abb82efc-899d-4d0a-9a10-48320b76358b,qci,353809,11162489.0,1,1,2021-11-20 02:44:58.144099+08,2021-11-20 02:46:02.004992+08,"{""cluster"": {""server"": 144789}, ""tool_env"": {""sysbench"": [43685]}, ""component"": {""sysbench"": [43686]}}",
8.0,502313,1,"max_times=9000000,timing_delta=999000,sleep_time=5","{""#hrtimer_avg"": 3210, ""#hrtimer_max"": 1004011, ""#hrtimer_min"": 82, ""#hrtimer_overflow"": 13}","{""max_times"": 9000000, ""sleep_time"": 5, ""timing_delta"": 999000}","{""tests_result_url"": ""cloud_perf/2018/results/tencent_bench/result/92795906/425541_92795906_0_hrtimer_baseline_0.json"", ""1643249948-10.18.1.90_tool_20220127_0235.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/92795906/1643249948-10.18.1.90_tool_20220127_0235.log""}",{},"{""#hrtimer_avg"": 3433.0, ""#hrtimer_max"": 881309.0, ""#hrtimer_min"": 86.0, ""#hrtimer_overflow"": 13.0}",136121,377077,377078,"{""cvm_cpu"": ""92"", ""platform"": ""qcloud"", ""test_name"": ""hrtimer_baseline"", ""tool_name"": ""hrtimer"", ""cvm_memory"": ""432 GB"", ""cvm_cpu_qos"": true, ""cvm_os_type"": ""CentOS Linux release 8.2.2004 (Core)"", ""cvm_version"": ""name_6"", ""cvm_cpu_type"": ""name_15"", ""tool_version"": ""1.0.0"", ""host_cpu_type"": ""name_15"", ""component_name"": ""cvm"", ""host_memory_type"": ""name_16"", ""component_version"": ""default"", ""host_cpu_isolation"": {""host"": {""vm"": ""2-24,30-52,58-80,86-108"", ""dpdk"": ""25-27,53-55,81-83,109-111"", ""host"": ""0-1,28-29"", ""spdk"": ""56-57,84-85""}}, ""host_manufacturer_name"": ""name_3""}",92795906,9cc830be-ed92-45c5-a491-3aa09eab7e64,qci,425541,14324673.0,2,9999,2022-01-27 10:17:47.595538+08,2022-01-27 10:19:24.674849+08,"{""cluster"": {""server"": 167968}, ""tool_env"": {""hrtimer"": [49428]}, ""component"": {""hrtimer"": [49429]}}",
9.0,347023,1,scale=5000,"{""#super_pi_sys_time"": 0.001, ""#super_pi_real_time"": 19.947, ""#super_pi_user_time"": 19.943}","{""scale"": 5000, ""background"": false}","{""tests_result_url"": ""cloud_perf/2018/results/tencent_bench/result/58535875/137437_58535875_0_super_pi_baseline_0.json"", ""1630793194-172.16.32.41_tool_20210905_0604.log"": ""https://yunyu.cloud.tencent.com/file/cos//tencent_bench/result/58535875/1630793194-172.16.32.41_tool_20210905_0604.log""}",{},"{""#super_pi_sys_time"": 0.00105, ""#super_pi_real_time"": 20.21276, ""#super_pi_user_time"": 19.98215}",99501,259615,259616,"{""cvm_cpu"": ""4"", ""platform"": ""qcloud"", ""test_name"": ""super_pi_baseline"", ""tool_name"": ""super_pi"", ""cvm_memory"": ""8 GB"", ""cvm_os_type"": ""CentOS Linux release 7.4.1708 (Core)"", ""cvm_version"": null, ""name_13"": ""name_9"", ""tool_version"": ""default"", ""component_name"": ""cvm"", ""component_version"": ""default""}",58535875,3923862d-fcbe-411f-8796-789c99fb170b,qci,137437,8759121.0,1,9999,2021-09-05 06:05:40.423457+08,2021-09-05 06:06:39.273133+08,"{""cluster"": {""server"": 108160}, ""tool_env"": {""super_pi"": [33917]}, ""component"": {""super_pi"": [33918]}}",
